memory_system,retriever,category,query_count,recall_at_3,evidence_complete_accuracy,stale_hit_rate
mem0_style,current_rag,abstention,5,0.8,0.8,0.0
mem0_style,current_rag,alias,6,1.0,1.0,0.0
mem0_style,current_rag,direct,2,0.5,0.5,0.0
mem0_style,current_rag,knowledge,4,1.0,1.0,0.0
mem0_style,current_rag,mixed,3,1.0,1.0,0.0
mem0_style,current_rag,multi_hop,3,0.8333333333333334,0.6666666666666666,0.0
mem0_style,current_rag,noisy_alias,3,0.6666666666666666,0.6666666666666666,0.0
mem0_style,current_rag,paraphrase,1,1.0,1.0,0.0
mem0_style,current_rag,policy,3,1.0,1.0,0.0
mem0_style,current_rag,real_log,1,1.0,1.0,0.0
mem0_style,current_rag,scope,5,1.0,1.0,0.0
mem0_style,current_rag,temporal,4,1.0,1.0,0.0
mem0_style,graph_rag,abstention,5,0.8,0.8,0.0
mem0_style,graph_rag,alias,6,1.0,1.0,0.0
mem0_style,graph_rag,direct,2,0.5,0.5,0.0
mem0_style,graph_rag,knowledge,4,1.0,1.0,0.0
mem0_style,graph_rag,mixed,3,0.8333333333333334,0.6666666666666666,0.0
mem0_style,graph_rag,multi_hop,3,1.0,1.0,0.0
mem0_style,graph_rag,noisy_alias,3,0.3333333333333333,0.3333333333333333,0.0
mem0_style,graph_rag,paraphrase,1,1.0,1.0,0.0
mem0_style,graph_rag,policy,3,1.0,1.0,0.0
mem0_style,graph_rag,real_log,1,1.0,1.0,0.0
mem0_style,graph_rag,scope,5,1.0,1.0,0.0
mem0_style,graph_rag,temporal,4,1.0,1.0,0.0
mem0_style,sag,abstention,5,0.2,0.2,0.0
mem0_style,sag,alias,6,0.8333333333333334,0.8333333333333334,0.0
mem0_style,sag,direct,2,0.5,0.5,0.0
mem0_style,sag,knowledge,4,1.0,1.0,0.0
mem0_style,sag,mixed,3,1.0,1.0,0.0
mem0_style,sag,multi_hop,3,1.0,1.0,0.0
mem0_style,sag,noisy_alias,3,0.3333333333333333,0.3333333333333333,0.0
mem0_style,sag,paraphrase,1,1.0,1.0,0.0
mem0_style,sag,policy,3,1.0,1.0,0.0
mem0_style,sag,real_log,1,1.0,1.0,0.0
mem0_style,sag,scope,5,1.0,1.0,0.0
mem0_style,sag,temporal,4,1.0,1.0,0.0
mem9_style,current_rag,abstention,5,0.6,0.6,0.0
mem9_style,current_rag,alias,6,0.8333333333333334,0.8333333333333334,0.0
mem9_style,current_rag,direct,2,0.5,0.5,0.0
mem9_style,current_rag,knowledge,4,1.0,1.0,0.0
mem9_style,current_rag,mixed,3,0.5,0.3333333333333333,0.6666666666666666
mem9_style,current_rag,multi_hop,3,1.0,1.0,0.0
mem9_style,current_rag,noisy_alias,3,0.0,0.0,0.0
mem9_style,current_rag,paraphrase,1,0.0,0.0,0.0
mem9_style,current_rag,policy,3,0.6666666666666666,0.6666666666666666,0.0
mem9_style,current_rag,real_log,1,0.0,0.0,0.0
mem9_style,current_rag,scope,5,1.0,1.0,0.0
mem9_style,current_rag,temporal,4,1.0,1.0,0.75
mem9_style,graph_rag,abstention,5,0.8,0.8,0.0
mem9_style,graph_rag,alias,6,0.8333333333333334,0.8333333333333334,0.0
mem9_style,graph_rag,direct,2,0.5,0.5,0.0
mem9_style,graph_rag,knowledge,4,1.0,1.0,0.0
mem9_style,graph_rag,mixed,3,0.5,0.3333333333333333,0.3333333333333333
mem9_style,graph_rag,multi_hop,3,1.0,1.0,0.0
mem9_style,graph_rag,noisy_alias,3,0.0,0.0,0.0
mem9_style,graph_rag,paraphrase,1,1.0,1.0,0.0
mem9_style,graph_rag,policy,3,0.6666666666666666,0.6666666666666666,0.0
mem9_style,graph_rag,real_log,1,0.0,0.0,0.0
mem9_style,graph_rag,scope,5,1.0,1.0,0.0
mem9_style,graph_rag,temporal,4,0.5,0.5,0.5
mem9_style,sag,abstention,5,0.0,0.0,0.0
mem9_style,sag,alias,6,0.8333333333333334,0.8333333333333334,0.0
mem9_style,sag,direct,2,0.0,0.0,0.0
mem9_style,sag,knowledge,4,1.0,1.0,0.0
mem9_style,sag,mixed,3,0.3333333333333333,0.3333333333333333,0.0
mem9_style,sag,multi_hop,3,0.6666666666666666,0.6666666666666666,0.0
mem9_style,sag,noisy_alias,3,0.0,0.0,0.0
mem9_style,sag,paraphrase,1,1.0,1.0,0.0
mem9_style,sag,policy,3,0.6666666666666666,0.6666666666666666,0.0
mem9_style,sag,real_log,1,0.0,0.0,0.0
mem9_style,sag,scope,5,1.0,1.0,0.0
mem9_style,sag,temporal,4,0.75,0.75,0.5
