memory_system,retriever,query_id,category,query,recall_at_1,recall_at_3,mrr,evidence_complete,stale_hit,scope_leakage,returned_count,gold,retrieved
mem0_style,current_rag,q001,direct,我平时希望你用什么语言回答？,0.0,0.0,0.0,0.0,0.0,0.0,2,"[[""user.language"", ""中文""]]","[{""memory_id"": ""mem0_style_0006"", ""slot"": ""user.reply_style"", ""value"": ""简短"", ""content"": ""Kaiwen在游戏中偏好简短回答。"", ""score"": 0.224676}, {""memory_id"": ""mem0_style_0015"", ""slot"": ""user.trash_talk"", ""value"": ""禁止"", ""content"": ""Kaiwen不希望AI替他辱骂队友。"", ""score"": 0.163701}]"
mem0_style,current_rag,q002,direct,游戏中回复应该长还是短？,1.0,1.0,1.0,1.0,0.0,0.0,1,"[[""user.reply_style"", ""简短""]]","[{""memory_id"": ""mem0_style_0006"", ""slot"": ""user.reply_style"", ""value"": ""简短"", ""content"": ""Kaiwen在游戏中偏好简短回答。"", ""score"": 0.441776}]"
mem0_style,current_rag,q003,alias,这个AI叫什么名字？,0.0,1.0,0.5,1.0,0.0,0.0,3,"[[""agent.nickname"", ""豆小饼""]]","[{""memory_id"": ""mem0_style_0017"", ""slot"": ""user.name"", ""value"": ""Kaiwen"", ""content"": ""用户姓名是Kaiwen，中文别名为凯文。"", ""score"": 0.307612}, {""memory_id"": ""mem0_style_0007"", ""slot"": ""agent.nickname"", ""value"": ""豆小饼"", ""content"": ""Kaiwen将AI称为豆小饼。"", ""score"": 0.159983}, {""memory_id"": ""mem0_style_0015"", ""slot"": ""user.trash_talk"", ""value"": ""禁止"", ""content"": ""Kaiwen不希望AI替他辱骂队友。"", ""score"": 0.137496}]"
mem0_style,current_rag,q004,alias,凯文的正式英文名是什么？,1.0,1.0,1.0,1.0,0.0,0.0,1,"[[""user.name"", ""Kaiwen""]]","[{""memory_id"": ""mem0_style_0017"", ""slot"": ""user.name"", ""value"": ""Kaiwen"", ""content"": ""用户姓名是Kaiwen，中文别名为凯文。"", ""score"": 0.405568}]"
mem0_style,current_rag,q005,policy,默认可以替我辱骂队友吗？,1.0,1.0,1.0,1.0,0.0,0.0,2,"[[""user.trash_talk"", ""禁止""]]","[{""memory_id"": ""mem0_style_0015"", ""slot"": ""user.trash_talk"", ""value"": ""禁止"", ""content"": ""Kaiwen不希望AI替他辱骂队友。"", ""score"": 0.451438}, {""memory_id"": ""mem0_style_0005"", ""slot"": ""knowledge.thresh_lantern"", ""value"": ""救援队友"", ""content"": ""锤石的灯笼可以救援处于危险中的队友。"", ""score"": 0.204907}]"
mem0_style,current_rag,q006,policy,当我喊救命时AI应该做什么？,1.0,1.0,1.0,1.0,0.0,0.0,1,"[[""user.rescue_protocol"", ""呼叫保护""]]","[{""memory_id"": ""mem0_style_0016"", ""slot"": ""user.rescue_protocol"", ""value"": ""呼叫保护"", ""content"": ""当Kaiwen说救命时，豆小饼应立即请求队友保护Kaiwen。"", ""score"": 0.361597}]"
mem0_style,current_rag,q007,temporal,我目前在大乱斗最想玩什么定位？,0.0,1.0,0.5,1.0,0.0,0.0,3,"[[""game_1.preferred_role"", ""坦克""]]","[{""memory_id"": ""mem0_style_0019"", ""slot"": ""game_1.twisted_fate_build"", ""value"": ""攻速AD"", ""content"": ""Kaiwen当前在大乱斗玩卡牌大师时偏好攻速AD出装。"", ""score"": 0.375032}, {""memory_id"": ""mem0_style_0018"", ""slot"": ""game_1.preferred_role"", ""value"": ""坦克"", ""content"": ""Kaiwen当前在英雄联盟大乱斗中偏好坦克角色。"", ""score"": 0.215528}, {""memory_id"": ""mem0_style_0004"", ""slot"": ""knowledge.aram_snowball"", ""value"": ""远距离开团"", ""content"": ""大乱斗的雪球召唤师技能适合远距离开团。"", ""score"": 0.123184}]"
mem0_style,current_rag,q008,temporal,不要用旧偏好，我现在大乱斗玩输出还是坦克？,0.0,1.0,0.5,1.0,0.0,0.0,2,"[[""game_1.preferred_role"", ""坦克""]]","[{""memory_id"": ""mem0_style_0019"", ""slot"": ""game_1.twisted_fate_build"", ""value"": ""攻速AD"", ""content"": ""Kaiwen当前在大乱斗玩卡牌大师时偏好攻速AD出装。"", ""score"": 0.341274}, {""memory_id"": ""mem0_style_0018"", ""slot"": ""game_1.preferred_role"", ""value"": ""坦克"", ""content"": ""Kaiwen当前在英雄联盟大乱斗中偏好坦克角色。"", ""score"": 0.25612}]"
mem0_style,current_rag,q009,temporal,我当前卡牌大师采用哪套出装？,1.0,1.0,1.0,1.0,0.0,0.0,2,"[[""game_1.twisted_fate_build"", ""攻速AD""]]","[{""memory_id"": ""mem0_style_0019"", ""slot"": ""game_1.twisted_fate_build"", ""value"": ""攻速AD"", ""content"": ""Kaiwen当前在大乱斗玩卡牌大师时偏好攻速AD出装。"", ""score"": 0.474442}, {""memory_id"": ""mem0_style_0003"", ""slot"": ""knowledge.tf_yellow_card"", ""value"": ""单体控制"", ""content"": ""卡牌大师的黄牌提供稳定的单体眩晕控制。"", ""score"": 0.292027}]"
mem0_style,current_rag,q010,temporal,卡牌出装偏好更新后是什么？,1.0,1.0,1.0,1.0,0.0,0.0,2,"[[""game_1.twisted_fate_build"", ""攻速AD""]]","[{""memory_id"": ""mem0_style_0019"", ""slot"": ""game_1.twisted_fate_build"", ""value"": ""攻速AD"", ""content"": ""Kaiwen当前在大乱斗玩卡牌大师时偏好攻速AD出装。"", ""score"": 0.293825}, {""memory_id"": ""mem0_style_0003"", ""slot"": ""knowledge.tf_yellow_card"", ""value"": ""单体控制"", ""content"": ""卡牌大师的黄牌提供稳定的单体眩晕控制。"", ""score"": 0.152888}]"
