memory_system,retriever,query_id,category,query,recall_at_1,recall_at_3,mrr,evidence_complete,stale_hit,scope_leakage,returned_count,gold,retrieved
mem0_style,current_rag,q001,direct,我平时希望你用什么语言回答？,0.0,0.0,0.0,0.0,0.0,0.0,2,"[[""user.language"", ""中文""]]","[{""memory_id"": ""mem0_style_0006"", ""slot"": ""user.reply_style"", ""value"": ""简短"", ""content"": ""Kaiwen在游戏中偏好简短回答。"", ""score"": 0.224676}, {""memory_id"": ""mem0_style_0015"", ""slot"": ""user.trash_talk"", ""value"": ""禁止"", ""content"": ""Kaiwen不希望AI替他辱骂队友。"", ""score"": 0.163701}]"
mem0_style,current_rag,q022,multi_hop,比尔在使命召唤要保护近点，是因为我通常用什么武器定位？,1.0,0.5,1.0,0.0,0.0,0.0,1,"[[""game_2.teammate_250.coordination"", ""Bill守近点""], [""game_2.teammate_250.role"", ""狙击手""]]","[{""memory_id"": ""mem0_style_0009"", ""slot"": ""game_2.teammate_250.coordination"", ""value"": ""Bill守近点"", ""content"": ""Kaiwen在COD使用狙击手时，Bill负责保护近距离区域。"", ""score"": 0.215837}]"
mem0_style,current_rag,q030,noisy_alias,豆小包应该用哪种语言和凯文讲话？,0.0,0.0,0.0,0.0,0.0,0.0,3,"[[""user.language"", ""中文""]]","[{""memory_id"": ""mem0_style_0017"", ""slot"": ""user.name"", ""value"": ""Kaiwen"", ""content"": ""用户姓名是Kaiwen，中文别名为凯文。"", ""score"": 0.232429}, {""memory_id"": ""mem0_style_0007"", ""slot"": ""agent.nickname"", ""value"": ""豆小饼"", ""content"": ""Kaiwen将AI称为豆小饼。"", ""score"": 0.156435}, {""memory_id"": ""mem0_style_0016"", ""slot"": ""user.rescue_protocol"", ""value"": ""呼叫保护"", ""content"": ""当Kaiwen说救命时，豆小饼应立即请求队友保护Kaiwen。"", ""score"": 0.148586}]"
mem0_style,current_rag,q037,abstention,毕文最喜欢的食物是什么？,0.0,0.0,0.0,0.0,0.0,0.0,2,[],"[{""memory_id"": ""mem0_style_0014"", ""slot"": ""teammate_254.encouragement_style"", ""value"": ""简短加油"", ""content"": ""毕文偏好简短、不肉麻的鼓励方式。"", ""score"": 0.24693}, {""memory_id"": ""mem0_style_0017"", ""slot"": ""user.name"", ""value"": ""Kaiwen"", ""content"": ""用户姓名是Kaiwen，中文别名为凯文。"", ""score"": 0.167165}]"
mem0_style,graph_rag,q001,direct,我平时希望你用什么语言回答？,0.0,0.0,0.0,0.0,0.0,0.0,2,"[[""user.language"", ""中文""]]","[{""memory_id"": ""mem0_style_0006"", ""slot"": ""user.reply_style"", ""value"": ""简短"", ""content"": ""Kaiwen在游戏中偏好简短回答。"", ""score"": 0.168507}, {""memory_id"": ""mem0_style_0015"", ""slot"": ""user.trash_talk"", ""value"": ""禁止"", ""content"": ""Kaiwen不希望AI替他辱骂队友。"", ""score"": 0.130703}]"
mem0_style,graph_rag,q030,noisy_alias,豆小包应该用哪种语言和凯文讲话？,0.0,0.0,0.0,0.0,0.0,0.0,3,"[[""user.language"", ""中文""]]","[{""memory_id"": ""mem0_style_0007"", ""slot"": ""agent.nickname"", ""value"": ""豆小饼"", ""content"": ""Kaiwen将AI称为豆小饼。"", ""score"": 0.377205}, {""memory_id"": ""mem0_style_0016"", ""slot"": ""user.rescue_protocol"", ""value"": ""呼叫保护"", ""content"": ""当Kaiwen说救命时，豆小饼应立即请求队友保护Kaiwen。"", ""score"": 0.372339}, {""memory_id"": ""mem0_style_0017"", ""slot"": ""user.name"", ""value"": ""Kaiwen"", ""content"": ""用户姓名是Kaiwen，中文别名为凯文。"", ""score"": 0.299322}]"
mem0_style,graph_rag,q031,noisy_alias,窦小丙回复我时别说太久，这对应什么偏好？,0.0,0.0,0.0,0.0,0.0,0.0,3,"[[""user.reply_style"", ""简短""]]","[{""memory_id"": ""mem0_style_0016"", ""slot"": ""user.rescue_protocol"", ""value"": ""呼叫保护"", ""content"": ""当Kaiwen说救命时，豆小饼应立即请求队友保护Kaiwen。"", ""score"": 0.256135}, {""memory_id"": ""mem0_style_0007"", ""slot"": ""agent.nickname"", ""value"": ""豆小饼"", ""content"": ""Kaiwen将AI称为豆小饼。"", ""score"": 0.17947}, {""memory_id"": ""mem0_style_0015"", ""slot"": ""user.trash_talk"", ""value"": ""禁止"", ""content"": ""Kaiwen不希望AI替他辱骂队友。"", ""score"": 0.14773}]"
mem0_style,graph_rag,q037,abstention,毕文最喜欢的食物是什么？,0.0,0.0,0.0,0.0,0.0,0.0,2,[],"[{""memory_id"": ""mem0_style_0014"", ""slot"": ""teammate_254.encouragement_style"", ""value"": ""简短加油"", ""content"": ""毕文偏好简短、不肉麻的鼓励方式。"", ""score"": 0.403097}, {""memory_id"": ""mem0_style_0017"", ""slot"": ""user.name"", ""value"": ""Kaiwen"", ""content"": ""用户姓名是Kaiwen，中文别名为凯文。"", ""score"": 0.125374}]"
mem0_style,graph_rag,q039,mixed,有人喊救命而且我们有锤石，该如何处理？,1.0,0.5,1.0,0.0,0.0,0.0,1,"[[""user.rescue_protocol"", ""呼叫保护""], [""knowledge.thresh_lantern"", ""救援队友""]]","[{""memory_id"": ""mem0_style_0005"", ""slot"": ""knowledge.thresh_lantern"", ""value"": ""救援队友"", ""content"": ""锤石的灯笼可以救援处于危险中的队友。"", ""score"": 0.304593}]"
mem0_style,sag,q001,direct,我平时希望你用什么语言回答？,0.0,0.0,0.0,0.0,0.0,0.0,2,"[[""user.language"", ""中文""]]","[{""memory_id"": ""mem0_style_0015"", ""slot"": ""user.trash_talk"", ""value"": ""禁止"", ""content"": ""Kaiwen不希望AI替他辱骂队友。"", ""score"": 0.239474}, {""memory_id"": ""mem0_style_0006"", ""slot"": ""user.reply_style"", ""value"": ""简短"", ""content"": ""Kaiwen在游戏中偏好简短回答。"", ""score"": 0.183684}]"
mem0_style,sag,q003,alias,这个AI叫什么名字？,0.0,0.0,0.0,0.0,0.0,0.0,3,"[[""agent.nickname"", ""豆小饼""]]","[{""memory_id"": ""mem0_style_0017"", ""slot"": ""user.name"", ""value"": ""Kaiwen"", ""content"": ""用户姓名是Kaiwen，中文别名为凯文。"", ""score"": 0.337164}, {""memory_id"": ""mem0_style_0019"", ""slot"": ""game_1.twisted_fate_build"", ""value"": ""攻速AD"", ""content"": ""Kaiwen当前在大乱斗玩卡牌大师时偏好攻速AD出装。"", ""score"": 0.258829}, {""memory_id"": ""mem0_style_0015"", ""slot"": ""user.trash_talk"", ""value"": ""禁止"", ""content"": ""Kaiwen不希望AI替他辱骂队友。"", ""score"": 0.225061}]"
mem0_style,sag,q030,noisy_alias,豆小包应该用哪种语言和凯文讲话？,0.0,0.0,0.0,0.0,0.0,0.0,3,"[[""user.language"", ""中文""]]","[{""memory_id"": ""mem0_style_0016"", ""slot"": ""user.rescue_protocol"", ""value"": ""呼叫保护"", ""content"": ""当Kaiwen说救命时，豆小饼应立即请求队友保护Kaiwen。"", ""score"": 0.459587}, {""memory_id"": ""mem0_style_0017"", ""slot"": ""user.name"", ""value"": ""Kaiwen"", ""content"": ""用户姓名是Kaiwen，中文别名为凯文。"", ""score"": 0.405813}, {""memory_id"": ""mem0_style_0007"", ""slot"": ""agent.nickname"", ""value"": ""豆小饼"", ""content"": ""Kaiwen将AI称为豆小饼。"", ""score"": 0.374578}]"
mem0_style,sag,q031,noisy_alias,窦小丙回复我时别说太久，这对应什么偏好？,0.0,0.0,0.0,0.0,0.0,0.0,3,"[[""user.reply_style"", ""简短""]]","[{""memory_id"": ""mem0_style_0016"", ""slot"": ""user.rescue_protocol"", ""value"": ""呼叫保护"", ""content"": ""当Kaiwen说救命时，豆小饼应立即请求队友保护Kaiwen。"", ""score"": 0.364031}, {""memory_id"": ""mem0_style_0015"", ""slot"": ""user.trash_talk"", ""value"": ""禁止"", ""content"": ""Kaiwen不希望AI替他辱骂队友。"", ""score"": 0.259438}, {""memory_id"": ""mem0_style_0019"", ""slot"": ""game_1.twisted_fate_build"", ""value"": ""攻速AD"", ""content"": ""Kaiwen当前在大乱斗玩卡牌大师时偏好攻速AD出装。"", ""score"": 0.252791}]"
mem0_style,sag,q034,abstention,我最喜欢的Apex英雄是谁？,0.0,0.0,0.0,0.0,0.0,0.0,3,[],"[{""memory_id"": ""mem0_style_0017"", ""slot"": ""user.name"", ""value"": ""Kaiwen"", ""content"": ""用户姓名是Kaiwen，中文别名为凯文。"", ""score"": 0.217679}, {""memory_id"": ""mem0_style_0016"", ""slot"": ""user.rescue_protocol"", ""value"": ""呼叫保护"", ""content"": ""当Kaiwen说救命时，豆小饼应立即请求队友保护Kaiwen。"", ""score"": 0.177973}, {""memory_id"": ""mem0_style_0015"", ""slot"": ""user.trash_talk"", ""value"": ""禁止"", ""content"": ""Kaiwen不希望AI替他辱骂队友。"", ""score"": 0.170314}]"
mem0_style,sag,q036,abstention,我对Dota 2的出装偏好是什么？,0.0,0.0,0.0,0.0,0.0,0.0,1,[],"[{""memory_id"": ""mem0_style_0017"", ""slot"": ""user.name"", ""value"": ""Kaiwen"", ""content"": ""用户姓名是Kaiwen，中文别名为凯文。"", ""score"": 0.203833}]"
mem0_style,sag,q037,abstention,毕文最喜欢的食物是什么？,0.0,0.0,0.0,0.0,0.0,0.0,2,[],"[{""memory_id"": ""mem0_style_0014"", ""slot"": ""teammate_254.encouragement_style"", ""value"": ""简短加油"", ""content"": ""毕文偏好简短、不肉麻的鼓励方式。"", ""score"": 0.49598}, {""memory_id"": ""mem0_style_0017"", ""slot"": ""user.name"", ""value"": ""Kaiwen"", ""content"": ""用户姓名是Kaiwen，中文别名为凯文。"", ""score"": 0.259918}]"
mem0_style,sag,q038,abstention,Charles在Valorant里打什么位置？,0.0,0.0,0.0,0.0,0.0,0.0,2,[],"[{""memory_id"": ""mem0_style_0016"", ""slot"": ""user.rescue_protocol"", ""value"": ""呼叫保护"", ""content"": ""当Kaiwen说救命时，豆小饼应立即请求队友保护Kaiwen。"", ""score"": 0.177123}, {""memory_id"": ""mem0_style_0015"", ""slot"": ""user.trash_talk"", ""value"": ""禁止"", ""content"": ""Kaiwen不希望AI替他辱骂队友。"", ""score"": 0.170764}]"
mem9_style,current_rag,q001,direct,我平时希望你用什么语言回答？,0.0,0.0,0.0,0.0,0.0,0.0,1,"[[""user.language"", ""中文""]]","[{""memory_id"": ""mem9_style_0009"", ""slot"": ""user.reply_style"", ""value"": ""简短"", ""content"": ""回答尽量简短，我在打游戏没时间听长篇解释。"", ""score"": 0.193455}]"
mem9_style,current_rag,q006,policy,当我喊救命时AI应该做什么？,0.0,0.0,0.0,0.0,0.0,0.0,3,"[[""user.rescue_protocol"", ""呼叫保护""]]","[{""memory_id"": ""mem9_style_0031"", ""slot"": null, ""value"": null, ""content"": ""哇，我喊我喊我喊无限Q了。"", ""score"": 0.248797}, {""memory_id"": ""mem9_style_0035"", ""slot"": null, ""value"": null, ""content"": ""替用户问队友：大乱斗亚索应该出什么？"", ""score"": 0.24504}, {""memory_id"": ""mem9_style_0036"", ""slot"": null, ""value"": null, ""content"": ""哎，完了完了完了，救命救命救命。"", ""score"": 0.217084}]"
mem9_style,current_rag,q012,alias,使命召唤里比尔应该怎样保护我？,0.0,0.0,0.0,0.0,0.0,0.0,2,"[[""game_2.teammate_250.coordination"", ""Bill守近点""]]","[{""memory_id"": ""mem9_style_0029"", ""slot"": ""game_2.teammate_250.role"", ""value"": ""狙击手"", ""content"": ""和Bill打使命召唤时我习惯用狙击手。"", ""score"": 0.282112}, {""memory_id"": ""mem9_style_0064"", ""slot"": ""user.rescue_protocol"", ""value"": ""呼叫保护"", ""content"": ""如果我说救命，豆小饼应该立刻让队友保护我。"", ""score"": 0.247887}]"
mem9_style,current_rag,q019,real_log,朱一闻不希望AI怎么称呼他？,0.0,0.0,0.0,0.0,0.0,0.0,3,"[[""teammate_253.address_preference"", ""不要称呼主人""]]","[{""memory_id"": ""mem9_style_0046"", ""slot"": null, ""value"": null, ""content"": ""替用户问队友：朱一闻为什么不说话？"", ""score"": 0.323832}, {""memory_id"": ""mem9_style_0047"", ""slot"": ""game_1.teammate_253.coordination"", ""value"": ""朱一闻先开团"", ""content"": ""和朱一闻玩时让他先开团，我再跟。"", ""score"": 0.273829}, {""memory_id"": ""mem9_style_0094"", ""slot"": null, ""value"": null, ""content"": ""喂，怎么了？怎么了"", ""score"": 0.204364}]"
mem9_style,current_rag,q028,mixed,结合我的偏好和游戏机制，我当前玩卡牌该出什么，以及黄牌有什么用？,0.0,0.5,0.5,0.0,1.0,0.0,3,"[[""game_1.twisted_fate_build"", ""攻速AD""], [""knowledge.tf_yellow_card"", ""单体控制""]]","[{""memory_id"": ""mem9_style_0018"", ""slot"": ""game_1.twisted_fate_build"", ""value"": ""AP"", ""content"": ""我以前玩卡牌大师习惯出AP。"", ""score"": 0.268098}, {""memory_id"": ""mem9_style_0035"", ""slot"": null, ""value"": null, ""content"": ""替用户问队友：大乱斗亚索应该出什么？"", ""score"": 0.249153}, {""memory_id"": ""mem9_style_0006"", ""slot"": ""knowledge.tf_yellow_card"", ""value"": ""单体控制"", ""content"": ""游戏知识：卡牌大师黄牌可以提供稳定单体控制。"", ""score"": 0.19858}]"
mem9_style,current_rag,q030,noisy_alias,豆小包应该用哪种语言和凯文讲话？,0.0,0.0,0.0,0.0,0.0,0.0,1,"[[""user.language"", ""中文""]]","[{""memory_id"": ""mem9_style_0064"", ""slot"": ""user.rescue_protocol"", ""value"": ""呼叫保护"", ""content"": ""如果我说救命，豆小饼应该立刻让队友保护我。"", ""score"": 0.155764}]"
mem9_style,current_rag,q031,noisy_alias,窦小丙回复我时别说太久，这对应什么偏好？,0.0,0.0,0.0,0.0,0.0,0.0,3,"[[""user.reply_style"", ""简短""]]","[{""memory_id"": ""mem9_style_0055"", ""slot"": null, ""value"": null, ""content"": ""帮我重复我的话的人，他为什么没有答案啊？他那不是问题啊，这不傻逼吗？"", ""score"": 0.18001}, {""memory_id"": ""mem9_style_0068"", ""slot"": null, ""value"": null, ""content"": ""对啊，老鼠主E的，为什么不玩豆小包呢？"", ""score"": 0.140623}, {""memory_id"": ""mem9_style_0092"", ""slot"": null, ""value"": null, ""content"": ""哎，为什么没声音啊？"", ""score"": 0.120283}]"
mem9_style,current_rag,q032,noisy_alias,朱玉文和我配合的时候，是他冲还是我先冲？,0.0,0.0,0.0,0.0,0.0,0.0,3,"[[""game_1.teammate_253.coordination"", ""朱一闻先开团""]]","[{""memory_id"": ""mem9_style_0111"", ""slot"": null, ""value"": null, ""content"": ""朱玉文已经十三个头"", ""score"": 0.229547}, {""memory_id"": ""mem9_style_0131"", ""slot"": null, ""value"": null, ""content"": ""能不能冲一冲？"", ""score"": 0.202897}, {""memory_id"": ""mem9_style_0170"", ""slot"": null, ""value"": null, ""content"": ""在在乌迪尔是这样子的他冲进"", ""score"": 0.13677}]"
mem9_style,current_rag,q033,paraphrase,跟比尔打枪战我架远点时，谁看近处？,0.0,0.0,0.0,0.0,0.0,0.0,0,"[[""game_2.teammate_250.coordination"", ""Bill守近点""]]",[]
mem9_style,current_rag,q034,abstention,我最喜欢的Apex英雄是谁？,0.0,0.0,0.0,0.0,0.0,0.0,1,[],"[{""memory_id"": ""mem9_style_0056"", ""slot"": ""user.trash_talk"", ""value"": ""禁止"", ""content"": ""我不喜欢AI替我骂队友，默认别嘴臭。"", ""score"": 0.146748}]"
mem9_style,current_rag,q037,abstention,毕文最喜欢的食物是什么？,0.0,0.0,0.0,0.0,0.0,0.0,1,[],"[{""memory_id"": ""mem9_style_0049"", ""slot"": ""teammate_254.encouragement_style"", ""value"": ""简短加油"", ""content"": ""毕文不喜欢太肉麻的鼓励，简单说加油就行。"", ""score"": 0.220035}]"
